GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,GFPipeID,EffGasDayTime,TSP_Name,PipeCode,CycleDesc
100OA072210D,Delivery Location,72210,"New Jersey Natural - Jamesburg, NJ",3,N,D,,274781.0,274781.0,0.0,274781.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072248R,Receipt Location,72248,"Enterprise Texas Pipeline LLC - Lavaca County, TX  (REC)",STX,Y,R,,281162.0,283975.0,10950.0,273025.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072249R,Receipt Location,72249,"Tri-Union Dev. Corp.-#1 Wright /  Goliad County, TX  (REC)",STX,N,R,,4427.0,4427.0,14.0,4413.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072263D,Delivery Location,72263,"Public Service - Woodbridge,NJ",3,N,D,,150168.0,150249.0,34675.0,115574.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072307R,Receipt Location,72307,"Jeems Bayou - #1 Calhoun /  Desoto Psh., LA",ETX,N,R,,14693.0,15208.0,75.0,15133.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072319R,Receipt Location,72319,"Energy XXI GOM, LLC-SP 93",ELA,N,R,,76201.0,76201.0,0.0,76201.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072337R,Receipt Location,72337,"Scorpion Oil&Gas, LLC",1,N,R,,8042.0,8513.0,1.0,8512.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072367D,Delivery Location,72367,"Miss. Valley Gas - Hinds Co., MS",ELA,N,D,,20252.0,20252.0,4190.0,16062.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072382D,Delivery Location,72382,"Houston Pipe Line Co.-Enerfin Lyondell Sys./ Harris Co., TX",STX,N,D,,55329.0,55329.0,0.0,55329.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072395D,Delivery Location,72395,"Entergy Sabine Power Station - Orange Co., TX",WLA,N,D,,101771.0,125869.0,60000.0,65869.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072405D,Delivery Location,72405,"PECO Energy - Hatfield, PA",3,N,D,,78790.0,78790.0,22258.0,56532.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072428R,Receipt Location,72428,"Somerset Gas - Casey Co., KY",2,N,R,,15626.0,15962.0,3700.0,12262.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072451R,Receipt Location,72451,"Wilmar Pipeline, Inc.  - #1 Duncan Slough, Matagorda Co., TX",STX,N,R,,4589.0,4589.0,108.0,4481.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072458R,Receipt Location,72458,"Tracy Production Co. - #1 Fulton Fuller, Nacogdoches Co., TX",ETX,N,R,,4471.0,4471.0,60.0,4411.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072499R,Receipt Location,72499,"Noram - Bald Knob - White, AR",1,N,R,,124579.0,126297.0,4831.0,121466.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072525R,Receipt Location,72525,"Howell Oil & Gas, Inc. - Gooch-Gant Fields CP, Harrison Co.,TX",ETX,N,R,,4889.0,5125.0,0.0,5125.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072533D,Delivery Location,72533,"T & F Exploration, LP., MM - Somerset Co., PA",2,Y,D,,1842.0,1842.0,50.0,1792.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072536D,Delivery Location,72536,"Kentucky Energy - Metcalfe, KY",2,N,D,,1995.0,2001.0,108.0,1893.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072566D,Delivery Location,72566,"American Midstream  Tenn Intrastate - Colbert Co., AL",1,N,D,,111310.0,117193.0,52636.0,64557.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072568R,Receipt Location,72568,"Enable Gas Transmission - West Monroe, LA",ELA,N,R,,284127.0,285756.0,8500.0,277256.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072571D,Delivery Location,72571,"UGI UTIL (Columbia Gas) - Bally, PA",3,N,D,,91594.0,91594.0,0.0,91594.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072580D,Delivery Location,72580,"Southcross Mississippi Pipeline, LP- Hinds, MS - DEL (B/D 76580)",ELA,N,D,,96859.0,99934.0,25000.0,74934.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072587D,Delivery Location,72587,"NRG - Big Cajun Electric, Coupee Psh., LA",ELA,N,D,,129659.0,131163.0,0.0,131163.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072594R,Receipt Location,72594,"MHT -Energy Mktg. -Monroe, MS",1,N,R,,14693.0,15341.0,165.0,15176.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072597D,Delivery Location,72597,Summit Utilities Arkansas Inc McRae Junct White AR,1,N,D,,2230.0,2230.0,100.0,2130.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072601R,Receipt Location,72601,"Enterprise Texas Pipeline LLC - Matagorda County, TX  (REC)",STX,N,R,,294631.0,294631.0,0.0,294631.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072603D,Delivery Location,72603,"Kinder Morgan Tejas (from TE) upRiver Rd., Nueces Co",STX,N,D,,127151.0,128932.0,0.0,128932.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072604D,Delivery Location,72604,"Entergy Louisiana,LLC Beauregard Psh., LA",WLA,N,D,,183420.0,186825.0,34985.0,151840.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072614R,Receipt Location,72614,"Transok - Ouachita Psh., LA",ELA,N,R,,119156.0,126895.0,15000.0,111895.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072616R,Receipt Location,72616,"Cantium, LLC - MP 30",ELA,N,R,,42725.0,43350.0,0.0,43350.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072621R,Receipt Location,72621,"Williams Field Services  - Duval Co., TX",STX,N,R,,45797.0,45797.0,0.0,45797.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072636D,Delivery Location,72636,"PECO Energy - Montgomery Co., PA",3,N,D,,46674.0,46674.0,4.0,46670.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
100OA072637D,Delivery Location,72637,Columbia Gas - Pickaway Co. OH,2,N,D,,233055.0,233055.0,5900.0,227155.0,Y,,2025-11-27T15:27:42.503097,100,2025-11-26,TX EAST TRAN,TE,INTRDY_2025-11-27_0900
