GFLOC,LocPurpDesc,Loc,LocName,LocZn,IT,FlowInd,LocSegment,DesignCapacity,OperatingCapacity,TotalScheduledQuantity,OperationallyAvailableCapacity,AllQtyAvail,QtyReason,Timestamp,TSP,EffGasDayTime,CycleDesc
114OA000220R,Receipt Location,00220,"Centerville-Transco (MORRIS,NJ)",,N,R,,222536.0,232311.0,147917.0,84394.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000230R,Receipt Location,00230,"Marathon (MIDDLESEX,MA)",,N,R,,177830.0,177830.0,0.0,177830.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000240R,Receipt Location,00240,"Columbia Hanover (MORRIS,NJ)",,N,R,,372868.0,372868.0,57656.0,315212.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000251R,Receipt Location,00251,"Brookfield (FAIRFIELD,CT)",,N,R,,370000.0,370000.0,89327.0,280673.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000271R,Receipt Location,00271,"Everett Int. (MIDDLESEX,MA)",,N,R,,275200.0,275200.0,0.0,275200.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000620R,Receipt Location,00620,"Excelerate Energy LP - Excelerate MS - (ESSEX,MA)",,N,R,,400000.0,0.0,0.0,0.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000621R,Receipt Location,00621,"Excelerate Energy LP - Excellence MS -(ESSEX, MA)",,N,R,,400000.0,0.0,0.0,0.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000622R,Receipt Location,00622,"Excelerate Energy LP - NE Gateway-Explorer (ESSEX,MA)",,N,R,,400000.0,0.0,0.0,0.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000624R,Receipt Location,00624,"Excelerate Energy LP - Exquisite (ESSEX,MA)",,N,R,,400000.0,0.0,0.0,0.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000625R,Receipt Location,00625,"Excelerate Energy LP - Expedient (ESSEX,MA)",,N,R,,400000.0,0.0,0.0,0.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000626R,Receipt Location,00626,"Excelerate Energy LP - Exemplar (ESSEX,MA)",,N,R,,400000.0,0.0,0.0,0.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000630R,Receipt Location,00630,"Suez Neptune LNG -(ESSEX, MA)",,N,R,,400000.0,400000.0,0.0,400000.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000631R,Receipt Location,00631,"Suez Cape Ann, LNG -(ESSEX, MA)",,N,R,,400000.0,400000.0,0.0,400000.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000801D,Delivery Location,00801,Milford Power,,N,D,,100945.0,103975.0,0.0,103975.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000802D,Delivery Location,00802,"Ledyard (NEW LONDON,CT)",,N,D,,3750.0,4560.0,0.0,4560.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000803D,Delivery Location,00803,"FORE RIVER (NORFOLK,MA)",,N,D,,142479.0,142479.0,65794.0,76685.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000804D,Delivery Location,00804,"Hebron (HARTFORD,CT)",,N,D,,8224.0,8497.0,2000.0,6497.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000805D,Delivery Location,00805,"Franklin (NEW LONDON,CT)",,N,D,,28370.0,28370.0,0.0,28370.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000806D,Delivery Location,00806,Canal Generating,,N,D,,117739.0,117739.0,0.0,117739.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000810D,Delivery Location,00810,"Middletown, (MIDDLESEX,CT)",,N,D,,184390.0,186820.0,0.0,186820.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000811D,Delivery Location,00811,"North Somers (WESTCHESTER,NY)",,N,D,,8800.0,8800.0,0.0,8800.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000812D,Delivery Location,00812,"TMPL (BRISTOL,MA)",,N,D,,70818.0,81497.0,7800.0,73697.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
114OA000813D,Delivery Location,00813,"National Grid-ROCHESTER (PLYMOUTH,MA)",,N,D,,29367.0,31698.0,4053.0,27645.0,Y,,2025-11-24T19:18:10.160045,6951446,2025-11-23,INTRDY_2025-11-24_0901
